Figure,Repetition,Seed,DistributionSeed,Method,SensitiveGroup,Class,Probability
3,20,200781,200777,Unfair,1,1,0.28542914171656686
3,20,200781,200777,Unfair,1,2,0.26746506986027946
3,20,200781,200777,Unfair,1,3,0.06387225548902195
3,20,200781,200777,Unfair,1,4,0.0658682634730539
3,20,200781,200777,Unfair,1,5,0.059880239520958084
3,20,200781,200777,Exact fair,-1,0,0.24649298597194388
3,20,200781,200777,Exact fair,-1,1,0.16432865731462926
3,20,200781,200777,Exact fair,-1,2,0.16633266533066132
3,20,200781,200777,Exact fair,-1,3,0.14829659318637275
3,20,200781,200777,Exact fair,-1,4,0.1342685370741483
3,20,200781,200777,Exact fair,-1,5,0.1402805611222445
3,20,200781,200777,Exact fair,1,0,0.16367265469061876
3,20,200781,200777,Exact fair,1,1,0.17764471057884232
3,20,200781,200777,Exact fair,1,2,0.16766467065868262
3,20,200781,200777,Exact fair,1,3,0.17964071856287425
3,20,200781,200777,Exact fair,1,4,0.15568862275449102
3,20,200781,200777,Exact fair,1,5,0.15568862275449102
3,21,210781,210777,Unfair,-1,0,0.0486815415821501
3,21,210781,210777,Unfair,-1,1,0.05273833671399594
3,21,210781,210777,Unfair,-1,2,0.058823529411764705
3,21,210781,210777,Unfair,-1,3,0.29006085192697767
3,21,210781,210777,Unfair,-1,4,0.281947261663286
3,21,210781,210777,Unfair,-1,5,0.26774847870182555
3,21,210781,210777,Unfair,1,0,0.28402366863905326
3,21,210781,210777,Unfair,1,1,0.27613412228796846
3,21,210781,210777,Unfair,1,2,0.2445759368836292
3,21,210781,210777,Unfair,1,3,0.06903353057199212
3,21,210781,210777,Unfair,1,4,0.07100591715976332
3,21,210781,210777,Unfair,1,5,0.055226824457593686
3,21,210781,210777,Exact fair,-1,0,0.12778904665314403
3,21,210781,210777,Exact fair,-1,1,0.1724137931034483
3,21,210781,210777,Exact fair,-1,2,0.1440162271805274
3,21,210781,210777,Exact fair,-1,3,0.2231237322515213
3,21,210781,210777,Exact fair,-1,4,0.17849898580121704
3,21,210781,210777,Exact fair,-1,5,0.15415821501014199
3,21,210781,210777,Exact fair,1,0,0.19723865877712032
3,21,210781,210777,Exact fair,1,1,0.16568047337278108
3,21,210781,210777,Exact fair,1,2,0.15581854043392504
3,21,210781,210777,Exact fair,1,3,0.14398422090729784
3,21,210781,210777,Exact fair,1,4,0.16370808678500987
3,21,210781,210777,Exact fair,1,5,0.17357001972386588
3,22,220781,220777,Unfair,-1,0,0.06297709923664122
3,22,220781,220777,Unfair,-1,1,0.05534351145038168
3,22,220781,220777,Unfair,-1,2,0.11068702290076336
3,22,220781,220777,Unfair,-1,3,0.26717557251908397
3,22,220781,220777,Unfair,-1,4,0.2385496183206107
3,22,220781,220777,Unfair,-1,5,0.2652671755725191
3,22,220781,220777,Unfair,1,0,0.2668067226890756
3,22,220781,220777,Unfair,1,1,0.2605042016806723
3,22,220781,220777,Unfair,1,2,0.2647058823529412
3,22,220781,220777,Unfair,1,3,0.06512605042016807
3,22,220781,220777,Unfair,1,4,0.0861344537815126
3,22,220781,220777,Unfair,1,5,0.05672268907563025
3,22,220781,220777,Exact fair,-1,0,0.18893129770992367
3,22,220781,220777,Exact fair,-1,1,0.1183206106870229
3,22,220781,220777,Exact fair,-1,2,0.21374045801526717
3,22,220781,220777,Exact fair,-1,3,0.16221374045801526
3,22,220781,220777,Exact fair,-1,4,0.14122137404580154
3,22,220781,220777,Exact fair,-1,5,0.17557251908396945
3,22,220781,220777,Exact fair,1,0,0.1722689075630252
3,22,220781,220777,Exact fair,1,1,0.16806722689075632
3,22,220781,220777,Exact fair,1,2,0.15756302521008403
3,22,220781,220777,Exact fair,1,3,0.14705882352941177
3,22,220781,220777,Exact fair,1,4,0.20798319327731093
3,22,220781,220777,Exact fair,1,5,0.14705882352941177
3,23,230781,230777,Unfair,-1,0,0.09563409563409564
3,23,230781,230777,Unfair,-1,1,0.08108108108108109
3,23,230781,230777,Unfair,-1,2,0.0498960498960499
3,23,230781,230777,Unfair,-1,3,0.2494802494802495
3,23,230781,230777,Unfair,-1,4,0.2869022869022869
3,23,230781,230777,Unfair,-1,5,0.23700623700623702
3,23,230781,230777,Unfair,1,0,0.27360308285163776
3,23,230781,230777,Unfair,1,1,0.2466281310211946
3,23,230781,230777,Unfair,1,2,0.2658959537572254
3,23,230781,230777,Unfair,1,3,0.08285163776493257
3,23,230781,230777,Unfair,1,4,0.0674373795761079
3,23,230781,230777,Unfair,1,5,0.06358381502890173
3,23,230781,230777,Exact fair,-1,0,0.19334719334719336
3,23,230781,230777,Exact fair,-1,1,0.1683991683991684
3,23,230781,230777,Exact fair,-1,2,0.14137214137214138
3,23,230781,230777,Exact fair,-1,3,0.1600831600831601
3,23,230781,230777,Exact fair,-1,4,0.18503118503118504
3,23,230781,230777,Exact fair,-1,5,0.15176715176715178
3,23,230781,230777,Exact fair,1,0,0.17726396917148363
3,23,230781,230777,Exact fair,1,1,0.16184971098265896
3,23,230781,230777,Exact fair,1,2,0.17148362235067438
3,23,230781,230777,Exact fair,1,3,0.16955684007707128
3,23,230781,230777,Exact fair,1,4,0.1676300578034682
3,23,230781,230777,Exact fair,1,5,0.15221579961464354
3,24,240781,240777,Unfair,-1,0,0.06560636182902585
3,24,240781,240777,Unfair,-1,1,0.07952286282306163
3,24,240781,240777,Unfair,-1,2,0.055666003976143144
3,24,240781,240777,Unfair,-1,3,0.28429423459244535
3,24,240781,240777,Unfair,-1,4,0.2823061630218688
3,24,240781,240777,Unfair,-1,5,0.23260437375745527
3,24,240781,240777,Unfair,1,0,0.2535211267605634
3,24,240781,240777,Unfair,1,1,0.2575452716297787
3,24,240781,240777,Unfair,1,2,0.2716297786720322
3,24,240781,240777,Unfair,1,3,0.09859154929577464
3,24,240781,240777,Unfair,1,4,0.060362173038229376
3,24,240781,240777,Unfair,1,5,0.05835010060362173
3,24,240781,240777,Exact fair,-1,0,0.16898608349900596
3,24,240781,240777,Exact fair,-1,1,0.16500994035785288
3,24,240781,240777,Exact fair,-1,2,0.17296222664015903
3,24,240781,240777,Exact fair,-1,3,0.18290258449304175
3,24,240781,240777,Exact fair,-1,4,0.16500994035785288
3,24,240781,240777,Exact fair,-1,5,0.14512922465208747
3,24,240781,240777,Exact fair,1,0,0.16700201207243462
3,24,240781,240777,Exact fair,1,1,0.20925553319919518
3,24,240781,240777,Exact fair,1,2,0.1488933601609658
3,24,240781,240777,Exact fair,1,3,0.1790744466800805
3,24,240781,240777,Exact fair,1,4,0.14084507042253522
3,24,240781,240777,Exact fair,1,5,0.15492957746478872
3,25,250781,250777,Unfair,-1,0,0.07024793388429752
3,25,250781,250777,Unfair,-1,1,0.08471074380165289
3,25,250781,250777,Unfair,-1,2,0.09090909090909091
3,25,250781,250777,Unfair,-1,3,0.24173553719008264
3,25,250781,250777,Unfair,-1,4,0.25413223140495866
3,25,250781,250777,Unfair,-1,5,0.25826446280991733
3,25,250781,250777,Unfair,1,0,0.25387596899224807
3,25,250781,250777,Unfair,1,1,0.25387596899224807
3,25,250781,250777,Unfair,1,2,0.2713178294573643
3,25,250781,250777,Unfair,1,3,0.07364341085271318
3,25,250781,250777,Unfair,1,4,0.07751937984496124
3,25,250781,250777,Unfair,1,5,0.06976744186046512
3,25,250781,250777,Exact fair,-1,0,0.16322314049586778
3,25,250781,250777,Exact fair,-1,1,0.16942148760330578
3,25,250781,250777,Exact fair,-1,2,0.18388429752066116
3,25,250781,250777,Exact fair,-1,3,0.1797520661157025
3,25,250781,250777,Exact fair,-1,4,0.1446280991735537
3,25,250781,250777,Exact fair,-1,5,0.1590909090909091
3,25,250781,250777,Exact fair,1,0,0.16279069767441862
3,25,250781,250777,Exact fair,1,1,0.1996124031007752
3,25,250781,250777,Exact fair,1,2,0.1821705426356589
3,25,250781,250777,Exact fair,1,3,0.1434108527131783
3,25,250781,250777,Exact fair,1,4,0.16279069767441862
3,25,250781,250777,Exact fair,1,5,0.14922480620155038
3,26,260781,260777,Unfair,-1,0,0.09504950495049505
3,26,260781,260777,Unfair,-1,1,0.04554455445544554
3,26,260781,260777,Unfair,-1,2,0.08712871287128712
3,26,260781,260777,Unfair,-1,3,0.27524752475247527
3,26,260781,260777,Unfair,-1,4,0.2376237623762376
3,26,260781,260777,Unfair,-1,5,0.2594059405940594
3,26,260781,260777,Unfair,1,0,0.26666666666666666
3,26,260781,260777,Unfair,1,1,0.2585858585858586
3,26,260781,260777,Unfair,1,2,0.2787878787878788
3,26,260781,260777,Unfair,1,3,0.08080808080808081
3,26,260781,260777,Unfair,1,4,0.0707070707070707
3,26,260781,260777,Unfair,1,5,0.044444444444444446
3,26,260781,260777,Exact fair,-1,0,0.1801980198019802
3,26,260781,260777,Exact fair,-1,1,0.17227722772277226
3,26,260781,260777,Exact fair,-1,2,0.2079207920792079
3,26,260781,260777,Exact fair,-1,3,0.16633663366336635
3,26,260781,260777,Exact fair,-1,4,0.13465346534653466
3,26,260781,260777,Exact fair,-1,5,0.13861386138613863
3,26,260781,260777,Exact fair,1,0,0.18585858585858586
3,26,260781,260777,Exact fair,1,1,0.12525252525252525
3,26,260781,260777,Exact fair,1,2,0.18383838383838383
3,26,260781,260777,Exact fair,1,3,0.20404040404040405
3,26,260781,260777,Exact fair,1,4,0.16363636363636364
3,26,260781,260777,Exact fair,1,5,0.13737373737373737
3,27,270781,270777,Unfair,-1,0,0.07017543859649122
3,27,270781,270777,Unfair,-1,1,0.07992202729044834
3,27,270781,270777,Unfair,-1,2,0.05847953216374269
3,27,270781,270777,Unfair,-1,3,0.3157894736842105
3,27,270781,270777,Unfair,-1,4,0.21637426900584794
3,27,270781,270777,Unfair,-1,5,0.25925925925925924
3,27,270781,270777,Unfair,1,0,0.2731006160164271
3,27,270781,270777,Unfair,1,1,0.25667351129363447
3,27,270781,270777,Unfair,1,2,0.2751540041067762
3,27,270781,270777,Unfair,1,3,0.055441478439425054
3,27,270781,270777,Unfair,1,4,0.07186858316221766
3,27,270781,270777,Unfair,1,5,0.06776180698151951
3,27,270781,270777,Exact fair,-1,0,0.19103313840155944
3,27,270781,270777,Exact fair,-1,1,0.18128654970760233
3,27,270781,270777,Exact fair,-1,2,0.15594541910331383
3,27,270781,270777,Exact fair,-1,3,0.1793372319688109
3,27,270781,270777,Exact fair,-1,4,0.13060428849902533
3,27,270781,270777,Exact fair,-1,5,0.1617933723196881
3,27,270781,270777,Exact fair,1,0,0.18480492813141683
3,27,270781,270777,Exact fair,1,1,0.17659137577002054
3,27,270781,270777,Exact fair,1,2,0.15811088295687886
3,27,270781,270777,Exact fair,1,3,0.1540041067761807
3,27,270781,270777,Exact fair,1,4,0.1437371663244353
3,27,270781,270777,Exact fair,1,5,0.18275154004106775
3,28,280781,280777,Unfair,-1,0,0.07692307692307693
3,28,280781,280777,Unfair,-1,1,0.06378986866791744
3,28,280781,280777,Unfair,-1,2,0.0825515947467167
3,28,280781,280777,Unfair,-1,3,0.23639774859287055
3,28,280781,280777,Unfair,-1,4,0.2682926829268293
3,28,280781,280777,Unfair,-1,5,0.27204502814258913
3,28,280781,280777,Unfair,1,0,0.24411134903640258
3,28,280781,280777,Unfair,1,1,0.26552462526766596
3,28,280781,280777,Unfair,1,2,0.23768736616702354
3,28,280781,280777,Unfair,1,3,0.07494646680942184
3,28,280781,280777,Unfair,1,4,0.1006423982869379
3,28,280781,280777,Unfair,1,5,0.07708779443254818
3,28,280781,280777,Exact fair,-1,0,0.1669793621013133
3,28,280781,280777,Exact fair,-1,1,0.15572232645403378
3,28,280781,280777,Exact fair,-1,2,0.12195121951219512
3,28,280781,280777,Exact fair,-1,3,0.1575984990619137
3,28,280781,280777,Exact fair,-1,4,0.19887429643527205
3,28,280781,280777,Exact fair,-1,5,0.19887429643527205
3,28,280781,280777,Exact fair,1,0,0.14989293361884368
3,28,280781,280777,Exact fair,1,1,0.1734475374732334
3,28,280781,280777,Exact fair,1,2,0.15203426124197003
3,28,280781,280777,Exact fair,1,3,0.16916488222698073
3,28,280781,280777,Exact fair,1,4,0.1948608137044968
3,28,280781,280777,Exact fair,1,5,0.16059957173447537
3,29,290781,290777,Unfair,-1,0,0.08686868686868687
3,29,290781,290777,Unfair,-1,1,0.07878787878787878
3,29,290781,290777,Unfair,-1,2,0.09292929292929293
3,29,290781,290777,Unfair,-1,3,0.28484848484848485
3,29,290781,290777,Unfair,-1,4,0.21818181818181817
3,29,290781,290777,Unfair,-1,5,0.2383838383838384
3,29,290781,290777,Unfair,1,0,0.23564356435643563
3,29,290781,290777,Unfair,1,1,0.27722772277227725
3,29,290781,290777,Unfair,1,2,0.25742574257425743
3,29,290781,290777,Unfair,1,3,0.08118811881188119
3,29,290781,290777,Unfair,1,4,0.06930693069306931
3,29,290781,290777,Unfair,1,5,0.07920792079207921
3,29,290781,290777,Exact fair,-1,0,0.16161616161616163
3,29,290781,290777,Exact fair,-1,1,0.13535353535353536
3,29,290781,290777,Exact fair,-1,2,0.14545454545454545
3,29,290781,290777,Exact fair,-1,3,0.21818181818181817
3,29,290781,290777,Exact fair,-1,4,0.15757575757575756
3,29,290781,290777,Exact fair,-1,5,0.18181818181818182
3,29,290781,290777,Exact fair,1,0,0.15445544554455445
3,29,290781,290777,Exact fair,1,1,0.17623762376237623
3,29,290781,290777,Exact fair,1,2,0.18217821782178217
3,29,290781,290777,Exact fair,1,3,0.14653465346534653
3,29,290781,290777,Exact fair,1,4,0.17227722772277226
3,29,290781,290777,Exact fair,1,5,0.16831683168316833
